Date,Open,High,Low,Close,Adj Close,Volume
2005-12-02,194.332504,196.800003,192.632507,193.750000,139.145081,4784360
2005-12-05,194.000000,194.262497,190.782501,191.419998,137.471786,1913080
2005-12-06,191.875000,196.250000,190.787506,194.250000,139.504196,3233064
2005-12-07,195.250000,200.000000,195.037506,199.445007,143.235077,5618952
2005-12-08,199.375000,203.087494,199.032501,202.070007,145.120239,9585192
2005-12-09,202.250000,211.824997,201.412506,210.337494,151.057678,6194224
2005-12-12,206.294998,213.125000,205.250000,206.274994,148.140167,6191488
2005-12-13,206.500000,209.750000,205.625000,208.449997,149.702194,6027072
2005-12-14,207.500000,212.500000,205.000000,210.487503,151.165482,4819208
2005-12-15,211.237503,212.312500,208.550003,210.350006,151.066711,4249016
2005-12-16,211.250000,215.750000,210.375000,214.300003,153.903427,7907432
2005-12-19,215.750000,219.125000,214.625000,216.820007,155.713211,4701168
2005-12-20,218.750000,218.750000,210.875000,211.687500,152.027252,4628568
2005-12-21,213.125000,214.324997,208.875000,210.762497,151.362930,3282432
2005-12-22,211.250000,212.462494,209.869995,210.587494,151.237259,2519208
2005-12-23,210.875000,213.125000,208.125000,208.970001,150.075668,2455032
2005-12-26,209.250000,209.250000,207.032501,207.862503,149.280319,1625280
2005-12-27,207.845001,212.875000,205.375000,212.270004,152.445557,1565208
2005-12-28,211.875000,213.750000,209.582504,210.707504,151.323425,2582056
2005-12-29,211.250000,214.987503,210.207504,213.757507,153.513870,3461784
2005-12-30,210.000000,214.987503,210.000000,212.857498,152.867432,2380248
2006-01-02,213.500000,213.862503,210.169998,210.949997,151.497559,1653504
2006-01-03,210.657501,217.494995,210.250000,216.649994,155.591125,3396936
2006-01-04,217.500000,218.737503,215.274994,217.887497,156.479858,3545616
2006-01-05,218.125000,218.250000,215.237503,216.544998,155.515747,1431824
2006-01-06,216.875000,217.487503,211.500000,213.199997,153.113419,2965744
2006-01-09,213.770004,216.250000,210.125000,211.119995,151.619675,3883272
2006-01-10,211.250000,212.475006,207.625000,209.062500,150.142059,3972648
2006-01-12,206.625000,211.125000,201.875000,209.212494,150.249756,13919696
2006-01-13,210.000000,211.250000,205.500000,206.470001,148.280197,3608568
2006-01-16,206.375000,206.375000,200.320007,201.095001,144.420074,4804912
2006-01-17,201.375000,205.000000,201.250000,202.925003,145.734299,3753056
2006-01-18,202.274994,202.975006,200.262497,202.445007,145.658798,3165120
2006-01-19,202.975006,206.837494,202.975006,206.294998,148.428818,3574728
2006-01-20,206.875000,208.732498,204.375000,205.500000,147.856766,3294240
2006-01-23,204.375000,204.375000,201.412506,202.770004,145.892593,2280272
2006-01-24,204.375000,206.125000,203.800003,205.324997,147.730911,1890064
2006-01-25,206.125000,207.494995,205.437500,206.399994,148.504410,6365736
2006-01-27,210.000000,210.000000,206.324997,207.395004,149.220276,3003816
2006-01-30,208.175003,209.949997,206.512497,207.362503,149.196884,1383144
2006-01-31,209.949997,209.949997,206.544998,208.800003,150.231201,1503160
2006-02-01,207.000000,209.750000,206.300003,208.332504,149.894821,3896696
2006-02-02,208.750000,209.500000,203.707504,204.600006,147.209274,3135736
2006-02-03,204.987503,205.975006,201.550003,203.850006,146.669708,4357520
2006-02-06,203.737503,210.375000,203.294998,209.882507,151.009949,2894976
2006-02-07,210.000000,211.687500,205.532501,209.262497,150.563980,7002784
2006-02-08,208.250000,209.012497,206.544998,207.812500,149.520645,3332648
2006-02-10,208.770004,209.750000,205.632507,208.699997,150.159180,2728200
2006-02-13,208.699997,208.750000,206.000000,206.375000,148.486389,2020544
2006-02-14,208.750000,208.750000,201.750000,202.320007,145.568771,6962064
2006-02-15,205.987503,205.987503,200.625000,202.419998,145.640701,4209320
2006-02-16,203.125000,204.975006,201.500000,203.645004,146.522156,5284488
2006-02-17,206.250000,207.050003,202.500000,203.125000,146.147964,2923448
2006-02-20,204.875000,206.875000,203.425003,206.232498,148.383865,2643608
2006-02-21,206.875000,208.875000,206.387497,208.250000,149.835495,2301240
2006-02-22,208.750000,208.750000,206.412506,207.732498,149.463089,1156592
2006-02-23,207.500000,211.237503,207.500000,208.820007,150.245560,4141584
2006-02-24,208.782501,210.000000,207.037506,208.757507,150.200562,1097336
2006-02-27,208.375000,211.875000,208.300003,211.294998,152.026306,2521112
2006-02-28,211.875000,213.000000,208.750000,212.600006,152.965210,2821744
2006-03-01,212.500000,218.175003,210.907501,217.524994,156.508789,4506152
2006-03-02,218.175003,219.250000,215.044998,217.725006,156.652557,3277696
2006-03-03,217.750000,217.750000,212.169998,213.220001,153.411377,2124440
2006-03-06,214.500000,219.125000,213.750000,218.037506,156.877502,3631584
2006-03-07,217.520004,218.750000,215.000000,215.587494,155.114777,1985168
2006-03-08,216.500000,217.500000,213.125000,215.320007,154.922226,3813488
2006-03-09,215.000000,216.000000,211.250000,215.607498,155.129120,4662712
2006-03-10,211.500000,221.875000,211.250000,220.457504,158.618683,6434944
2006-03-13,221.725006,230.949997,221.725006,228.574997,164.459244,7178552
2006-03-14,228.112503,228.462494,223.887497,225.395004,162.171234,3477456
2006-03-16,227.125000,229.987503,225.787506,229.425003,165.070831,4600064
2006-03-17,230.000000,235.062500,230.000000,232.625000,167.373184,5932240
2006-03-20,234.250000,239.375000,233.187500,238.500000,171.600266,7012872
2006-03-21,238.500000,241.875000,237.332504,239.399994,172.247772,5301384
2006-03-22,240.000000,240.000000,235.149994,236.669998,170.283585,5121168
2006-03-23,237.500000,239.875000,233.532501,234.274994,168.560303,2644488
2006-03-24,235.875000,238.125000,233.632507,236.432495,170.112762,2917384
2006-03-27,236.875000,238.750000,235.695007,236.369995,170.067734,2928432
2006-03-28,237.500000,238.875000,235.125000,235.949997,169.765518,3751272
2006-03-29,234.875000,237.862503,233.375000,237.270004,170.715225,4284296
2006-03-30,237.862503,251.250000,237.862503,246.012497,177.005463,5784168
2006-03-31,244.737503,244.737503,238.750000,239.437500,172.274796,2920168
2006-04-03,240.875000,244.500000,240.000000,243.845001,175.445953,3105672
2006-04-04,243.800003,245.000000,242.507507,243.570007,175.248062,2971608
2006-04-05,243.762497,245.645004,240.000000,241.507507,173.764130,2776928
2006-04-07,243.500000,249.625000,234.375000,236.157501,169.914825,7385560
2006-04-10,237.500000,239.994995,235.000000,236.762497,170.350082,7034440
2006-04-12,237.274994,237.500000,220.375000,222.600006,160.160248,13157376
2006-04-13,225.625000,228.712494,221.250000,224.645004,161.631607,8601672
2006-04-17,228.125000,238.875000,226.907501,238.320007,171.470703,9688752
2006-04-18,247.250000,261.000000,247.250000,251.187500,180.728867,14778488
2006-04-19,253.625000,256.250000,249.750000,251.595001,181.022079,9803312
2006-04-20,252.487503,253.119995,246.875000,248.737503,178.966095,6296944
2006-04-21,250.000000,253.744995,245.625000,249.882507,179.789871,4973000
2006-04-24,249.750000,249.957504,245.625000,247.407501,178.009201,5234808
2006-04-25,247.487503,247.487503,237.375000,240.869995,173.305450,5702208
2006-04-26,241.000000,244.500000,238.750000,242.794998,174.690491,7071136
2006-04-27,242.794998,250.375000,241.250000,243.232498,175.005280,7164848
2006-04-28,238.375000,248.875000,228.794998,247.257507,177.901276,5292360
2006-05-02,248.000000,253.050003,247.500000,251.645004,181.058060,6239280
2006-05-03,253.000000,254.987503,251.882507,253.945007,182.712921,3148160
2006-05-04,253.500000,257.237488,252.662506,255.462494,183.804672,3929824
2006-05-05,256.875000,256.875000,249.375000,250.832504,180.473419,2710520
2006-05-08,252.625000,261.500000,251.250000,252.432495,181.624634,1484712
2006-05-09,254.000000,255.550003,250.625000,253.107498,182.110291,1800392
2006-05-10,255.550003,255.875000,250.287506,252.712494,181.826141,1978192
2006-05-11,253.662506,253.662506,250.675003,252.337494,181.556274,1964024
2006-05-12,251.375000,253.107498,246.287506,249.520004,179.529099,2777136
2006-05-15,247.500000,250.125000,240.000000,245.112503,176.357910,4034504
2006-05-16,244.994995,249.375000,239.975006,246.837494,177.599045,2671568
2006-05-17,249.375000,252.500000,248.750000,252.070007,181.363831,1343368
2006-05-18,248.750000,249.987503,237.500000,240.707504,173.188568,4542360
2006-05-19,243.750000,244.975006,231.437500,236.544998,170.193604,4868216
2006-05-22,240.000000,240.000000,218.000000,222.562500,160.133286,4699416
2006-05-23,225.000000,234.250000,212.625000,228.774994,164.603119,5388136
2006-05-24,233.750000,235.000000,220.000000,223.832504,161.046997,5705568
2006-05-25,222.500000,237.300003,218.125000,234.619995,168.808640,5839048
2006-05-26,236.250000,237.500000,230.125000,233.294998,167.855240,2208184
2006-05-29,233.125000,233.125000,230.037506,231.320007,166.434219,2802688
2006-05-30,233.125000,236.887497,229.375000,232.544998,167.315643,4516056
2006-05-31,230.137497,230.137497,216.250000,222.862503,160.349045,5769856
2006-06-01,228.125000,228.125000,211.250000,213.669998,153.735138,5942760
2006-06-02,214.362503,225.000000,211.000000,224.250000,161.347336,4213560
2006-06-05,224.250000,225.550003,219.282501,220.949997,158.973083,3211680
2006-06-06,218.100006,223.475006,211.250000,218.612503,157.291229,2971136
2006-06-07,225.000000,225.000000,211.657501,212.994995,153.249512,5410536
2006-06-08,215.625000,215.625000,201.399994,205.987503,148.207581,5360992
2006-06-09,209.307495,211.500000,203.125000,208.895004,150.299530,4061912
2006-06-12,212.375000,212.375000,202.625000,204.845001,147.385590,3591904
2006-06-13,202.625000,203.675003,195.125000,196.294998,141.233856,2736984
2006-06-14,195.244995,203.119995,181.407501,185.457504,133.436295,12786016
2006-06-15,198.250000,198.250000,187.625000,193.820007,139.453125,5967360
2006-06-16,198.250000,214.375000,197.550003,210.625000,151.985321,8390168
2006-06-19,210.000000,210.625000,204.532501,208.544998,150.484406,4294088
